boot_duration,boot_successful,kernel_started,rootfs_mounted,init_started,login_prompt_detected,kernel_panic_detected,error_count,warning_count,info_logs,warning_logs,error_logs,success_logs,boot_logs,kernel_logs,memory_logs,filesystem_logs,network_logs,uart_logs,usb_logs,unknown_logs,template_count,unique_templates,largest_template_frequency,repeated_templates,compression_ratio,template_info,template_warning,template_error,template_success,template_usb,template_kernel,template_memory,template_network,template_uart,template_filesystem,template_boot,template_unknown,irq_failure,dma_failure,rootfs_failure,dtb_failure,oom_detected,init_failure,cpu_failure,filesystem_failure,label,file_name
331.585867,1,1,1,1,0,0,9,1,216,1,9,66,28,40,32,11,19,18,45,99,292,262,6,14,0.8973,216,1,9,66,45,40,32,19,18,11,28,99,0,0,0,0,0,0,0,0,normal,logs1_19jun.txt
331.585867,0,1,1,1,0,1,9,2,237,2,9,68,28,51,32,11,23,18,45,108,316,247,8,35,0.7816,237,2,9,68,45,51,32,23,18,11,28,108,0,0,0,0,0,0,0,0,error,driver_init_irq_warn_mismatch.txt
151.013187,0,1,0,0,0,1,25,1,194,1,25,59,28,50,31,14,12,14,26,104,279,227,10,27,0.8136,194,1,25,59,26,50,31,12,14,14,28,104,0,0,0,0,0,0,0,0,error,driver_init_irqchip unreachable.txt
2.312807,1,1,1,1,0,0,13,1,191,1,13,61,26,42,33,11,12,14,24,104,266,216,8,29,0.812,191,1,13,61,24,42,33,12,14,11,26,104,0,0,0,0,0,0,0,0,error,kernel_cpu secondary failure.txt
2.202937,1,1,1,1,0,0,19,1,177,1,19,58,29,39,36,11,12,11,17,100,255,211,8,24,0.8275,177,1,19,58,17,39,36,12,11,11,29,100,0,0,0,0,0,0,0,0,error,kernel_dma alloc failure.txt
1.947198,0,1,1,1,0,1,18,1,203,1,18,59,40,42,34,11,12,13,21,108,281,227,8,27,0.8078,203,1,18,59,21,42,34,12,13,11,40,108,0,0,0,0,0,0,0,0,error,kernel_no working init.txt
2.217198,0,1,1,1,0,1,13,1,213,1,13,59,33,42,37,11,12,13,21,117,286,237,8,27,0.8287,213,1,13,59,21,42,37,12,13,11,33,117,0,0,0,0,0,0,0,0,error,kernel_oom_kill_init.txt
3.583182,0,1,0,0,0,1,13,1,239,1,13,57,28,42,41,30,12,14,24,119,310,244,11,30,0.7871,239,1,13,57,24,42,41,12,14,30,28,119,0,0,0,0,0,0,0,0,error,kernel_wrong root partition.txt
3.92929,0,1,0,0,0,0,7,1,318,1,7,56,46,43,33,4,28,34,27,167,382,259,8,64,0.678,318,1,7,56,27,43,33,28,34,4,46,167,0,0,0,0,0,0,0,0,error,logs3_5june(uboot + some kernel).txt
,0,0,0,0,0,0,1,1,24,1,1,0,7,0,2,0,1,3,4,9,26,26,1,0,1.0,24,1,1,0,4,0,2,1,3,0,7,9,0,0,0,0,0,0,0,0,error,uboot_missing dtb file.txt
,0,0,0,0,0,0,1,1,75,1,1,0,11,1,3,2,6,8,6,40,77,77,1,0,1.0,75,1,1,0,6,1,3,6,8,2,11,40,0,0,0,0,0,0,0,0,error,uboot_wrong dtb file.txt
,0,0,0,0,0,0,0,0,25,0,0,0,5,1,1,0,1,3,4,10,25,24,2,1,0.96,25,0,0,0,4,1,1,1,3,0,5,10,0,0,0,0,0,0,0,0,error,uboot_wrong kernel image.txt
56.026012,0,1,0,0,0,1,4,0,63,0,4,1,11,3,2,21,1,5,4,21,68,57,10,3,0.8382,63,0,4,1,4,3,2,1,5,21,11,21,0,0,0,0,0,0,0,0,error,uboot_wrong root partition.txt
